id,filename,name,datum,utm_zone
10323832,MDT02-ETRS89-HU29-0073-2-COB2.asc,0073-2,ETRS89,29
10323922,MDT02-ETRS89-HU29-0073-3-COB2.asc,0073-3,ETRS89,29
10323750,MDT02-ETRS89-HU29-0073-4-COB2.asc,0073-4,ETRS89,29
10323791,MDT02-ETRS89-HU29-0074-1-COB2.asc,0074-1,ETRS89,29
10323805,MDT02-ETRS89-HU29-0074-2-COB2.asc,0074-2,ETRS89,29
10323853,MDT02-ETRS89-HU29-0074-3-COB2.asc,0074-3,ETRS89,29
10323794,MDT02-ETRS89-HU29-0074-4-COB2.asc,0074-4,ETRS89,29
10323877,MDT02-ETRS89-HU29-0075-1-COB2.asc,0075-1,ETRS89,29
10323888,MDT02-ETRS89-HU29-0092-2-COB2.asc,0092-2,ETRS89,29
10323845,MDT02-ETRS89-HU29-0092-4-COB2.asc,0092-4,ETRS89,29
10323718,MDT02-ETRS89-HU29-0093-1-COB2.asc,0093-1,ETRS89,29
10323831,MDT02-ETRS89-HU29-0093-2-COB2.asc,0093-2,ETRS89,29
10323713,MDT02-ETRS89-HU29-0093-3-COB2.asc,0093-3,ETRS89,29
10323896,MDT02-ETRS89-HU29-0093-4-COB2.asc,0093-4,ETRS89,29
10323797,MDT02-ETRS89-HU29-0094-1-COB2.asc,0094-1,ETRS89,29
10323876,MDT02-ETRS89-HU29-0094-2-COB2.asc,0094-2,ETRS89,29
10323801,MDT02-ETRS89-HU29-0094-3-COB2.asc,0094-3,ETRS89,29
10323754,MDT02-ETRS89-HU29-0094-4-COB2.asc,0094-4,ETRS89,29
10323796,MDT02-ETRS89-HU29-0095-1-COB2.asc,0095-1,ETRS89,29
10323804,MDT02-ETRS89-HU29-0095-2-COB2.asc,0095-2,ETRS89,29
10323890,MDT02-ETRS89-HU29-0095-3-COB2.asc,0095-3,ETRS89,29
10323879,MDT02-ETRS89-HU29-0095-4-COB2.asc,0095-4,ETRS89,29
10323824,MDT02-ETRS89-HU29-0096-1-COB2.asc,0096-1,ETRS89,29
10323941,MDT02-ETRS89-HU29-0096-2-COB2.asc,0096-2,ETRS89,29
10323795,MDT02-ETRS89-HU29-0096-3-COB2.asc,0096-3,ETRS89,29
10323980,MDT02-ETRS89-HU29-0096-4-COB2.asc,0096-4,ETRS89,29
10323951,MDT02-ETRS89-HU29-0097-1-COB2.asc,0097-1,ETRS89,29
10323762,MDT02-ETRS89-HU29-0097-2-COB2.asc,0097-2,ETRS89,29
10323972,MDT02-ETRS89-HU29-0097-3-COB2.asc,0097-3,ETRS89,29
10323880,MDT02-ETRS89-HU29-0097-4-COB2.asc,0097-4,ETRS89,29
10323729,MDT02-ETRS89-HU29-0098-1-COB2.asc,0098-1,ETRS89,29
10323722,MDT02-ETRS89-HU29-0098-2-COB2.asc,0098-2,ETRS89,29
10323898,MDT02-ETRS89-HU29-0098-3-COB2.asc,0098-3,ETRS89,29
10323923,MDT02-ETRS89-HU29-0098-4-COB2.asc,0098-4,ETRS89,29
10323693,MDT02-ETRS89-HU29-0099-1-COB2.asc,0099-1,ETRS89,29
10323757,MDT02-ETRS89-HU29-0099-2-COB2.asc,0099-2,ETRS89,29
10323844,MDT02-ETRS89-HU29-0099-3-COB2.asc,0099-3,ETRS89,29
10323884,MDT02-ETRS89-HU29-0099-4-COB2.asc,0099-4,ETRS89,29
10323858,MDT02-ETRS89-HU29-0100-1-COB2.asc,0100-1,ETRS89,29
10323702,MDT02-ETRS89-HU29-0100-3-COB2.asc,0100-3,ETRS89,29
10323767,MDT02-ETRS89-HU29-0119-1-COB2.asc,0119-1,ETRS89,29
10323756,MDT02-ETRS89-HU29-0119-2-COB2.asc,0119-2,ETRS89,29
10323873,MDT02-ETRS89-HU29-0119-3-COB2.asc,0119-3,ETRS89,29
10323842,MDT02-ETRS89-HU29-0119-4-COB2.asc,0119-4,ETRS89,29
10323887,MDT02-ETRS89-HU29-0120-1-COB2.asc,0120-1,ETRS89,29
10323715,MDT02-ETRS89-HU29-0120-2-COB2.asc,0120-2,ETRS89,29
10323758,MDT02-ETRS89-HU29-0120-3-COB2.asc,0120-3,ETRS89,29
10323841,MDT02-ETRS89-HU29-0120-4-COB2.asc,0120-4,ETRS89,29
10323737,MDT02-ETRS89-HU29-0121-1-COB2.asc,0121-1,ETRS89,29
10323825,MDT02-ETRS89-HU29-0121-2-COB2.asc,0121-2,ETRS89,29
10323914,MDT02-ETRS89-HU29-0121-3-COB2.asc,0121-3,ETRS89,29
10323894,MDT02-ETRS89-HU29-0121-4-COB2.asc,0121-4,ETRS89,29
10323833,MDT02-ETRS89-HU29-0122-1-COB2.asc,0122-1,ETRS89,29
10323938,MDT02-ETRS89-HU29-0122-2-COB2.asc,0122-2,ETRS89,29
10323712,MDT02-ETRS89-HU29-0122-3-COB2.asc,0122-3,ETRS89,29
10323935,MDT02-ETRS89-HU29-0122-4-COB2.asc,0122-4,ETRS89,29
10323954,MDT02-ETRS89-HU29-0123-1-COB2.asc,0123-1,ETRS89,29
10323775,MDT02-ETRS89-HU29-0123-2-COB2.asc,0123-2,ETRS89,29
10323960,MDT02-ETRS89-HU29-0123-3-COB2.asc,0123-3,ETRS89,29
10323846,MDT02-ETRS89-HU29-0123-4-COB2.asc,0123-4,ETRS89,29
10323699,MDT02-ETRS89-HU29-0124-1-COB2.asc,0124-1,ETRS89,29
10323847,MDT02-ETRS89-HU29-0124-2-COB2.asc,0124-2,ETRS89,29
10323823,MDT02-ETRS89-HU29-0124-3-COB2.asc,0124-3,ETRS89,29
10323763,MDT02-ETRS89-HU29-0124-4-COB2.asc,0124-4,ETRS89,29
10323755,MDT02-ETRS89-HU29-0125-1-COB2.asc,0125-1,ETRS89,29
10323717,MDT02-ETRS89-HU29-0125-2-COB2.asc,0125-2,ETRS89,29
10323840,MDT02-ETRS89-HU29-0125-3-COB2.asc,0125-3,ETRS89,29
10323764,MDT02-ETRS89-HU29-0125-4-COB2.asc,0125-4,ETRS89,29
10323697,MDT02-ETRS89-HU29-0151-1-COB2.asc,0151-1,ETRS89,29
10323852,MDT02-ETRS89-HU29-0151-2-COB2.asc,0151-2,ETRS89,29
10323901,MDT02-ETRS89-HU29-0151-3-COB2.asc,0151-3,ETRS89,29
10323773,MDT02-ETRS89-HU29-0151-4-COB2.asc,0151-4,ETRS89,29
10323732,MDT02-ETRS89-HU29-0152-1-COB2.asc,0152-1,ETRS89,29
10323742,MDT02-ETRS89-HU29-0152-2-COB2.asc,0152-2,ETRS89,29
10323834,MDT02-ETRS89-HU29-0152-3-COB2.asc,0152-3,ETRS89,29
10323782,MDT02-ETRS89-HU29-0152-4-COB2.asc,0152-4,ETRS89,29
10323768,MDT02-ETRS89-HU29-0153-1-COB2.asc,0153-1,ETRS89,29
10323698,MDT02-ETRS89-HU29-0153-2-COB2.asc,0153-2,ETRS89,29
10323769,MDT02-ETRS89-HU29-0153-3-COB2.asc,0153-3,ETRS89,29
10323955,MDT02-ETRS89-HU29-0153-4-COB2.asc,0153-4,ETRS89,29
10323813,MDT02-ETRS89-HU29-0154-1-COB2.asc,0154-1,ETRS89,29
10323975,MDT02-ETRS89-HU29-0154-2-COB2.asc,0154-2,ETRS89,29
