filename,name,datum,utm_zone,date,size
PNOA-MDT05-ETRS89-HU29-0826-LID.TIF,0826,MDT05,29,2010,35.2
PNOA-MDT05-ETRS89-HU29-0827-LID.TIF,0827,MDT05,29,2010,84.38
PNOA-MDT05-ETRS89-HU29-0828-LID.TIF,0828,MDT05,29,2010,84.45
PNOA-MDT05-ETRS89-HU29-0829-LID.TIF,0829,MDT05,29,2010,81.64
PNOA-MDT05-ETRS89-HU29-0830-LID.TIF,0830,MDT05,29,2010,87.31
PNOA-MDT05-ETRS89-HU29-0851-LID.TIF,0851,MDT05,29,2010,35.31
PNOA-MDT05-ETRS89-HU29-0852-LID.TIF,0852,MDT05,29,2010,85.3
PNOA-MDT05-ETRS89-HU29-0853-LID.TIF,0853,MDT05,29,2010,88.91
PNOA-MDT05-ETRS89-HU29-0854-LID.TIF,0854,MDT05,29,2010,82.36
PNOA-MDT05-ETRS89-HU29-0855-LID.TIF,0855,MDT05,29,2010,85.94
PNOA-MDT05-ETRS89-HU29-0873-LID.TIF,0873,MDT05,29,2010,9.29
PNOA-MDT05-ETRS89-HU29-0874-LID.TIF,0874,MDT05,29,"2010, 2014",85.29
PNOA-MDT05-ETRS89-HU29-0875-LID.TIF,0875,MDT05,29,"2010, 2014",88.43
PNOA-MDT05-ETRS89-HU29-0876-LID.TIF,0876,MDT05,29,2010,85.5
PNOA-MDT05-ETRS89-HU29-0877-LID.TIF,0877,MDT05,29,2010,83.43
PNOA-MDT05-ETRS89-HU29-0895B-LID.TIF,0895,MDT05,29,"2010, 2014, 2015",2.3
PNOA-MDT05-ETRS89-HU29-0895-LID.TIF,0895,MDT05,29,"2010, 2014",65
PNOA-MDT05-ETRS89-HU29-0896-LID.TIF,0896,MDT05,29,"2010, 2014",88.85
PNOA-MDT05-ETRS89-HU29-0897-LID.TIF,0897,MDT05,29,"2010, 2014",89.46
PNOA-MDT05-ETRS89-HU29-0898-LID.TIF,0898,MDT05,29,"2010, 2014",90.78
PNOA-MDT05-ETRS89-HU29-0915-LID.TIF,0915,MDT05,29,2014,35.33
PNOA-MDT05-ETRS89-HU29-0916-LID.TIF,0916,MDT05,29,"2014, 2015",88.44
PNOA-MDT05-ETRS89-HU29-0917-LID.TIF,0917,MDT05,29,"2010, 2014, 2015",88.4
PNOA-MDT05-ETRS89-HU29-0918-LID.TIF,0918,MDT05,29,"2010, 2014, 2015",88.22
PNOA-MDT05-ETRS89-HU29-0919-LID.TIF,0919,MDT05,29,"2010, 2014",91.9
PNOA-MDT05-ETRS89-HU29-0936-LID.TIF,0936,MDT05,29,2014,73.83
PNOA-MDT05-ETRS89-HU29-0937-LID.TIF,0937,MDT05,29,"2014, 2015",81.33
PNOA-MDT05-ETRS89-HU29-0938-LID.TIF,0938,MDT05,29,"2014, 2015",83.47
PNOA-MDT05-ETRS89-HU29-0939-LID.TIF,0939,MDT05,29,"2014, 2015",86.77
PNOA-MDT05-ETRS89-HU29-0940-LID.TIF,0940,MDT05,29,2014,87.71
PNOA-MDT05-ETRS89-HU29-0958-LID.TIF,0958,MDT05,29,"2014, 2015",78.14
PNOA-MDT05-ETRS89-HU29-0959-LID.TIF,0959,MDT05,29,"2014, 2015",80.23
PNOA-MDT05-ETRS89-HU29-0960-LID.TIF,0960,MDT05,29,2015,83.65
PNOA-MDT05-ETRS89-HU29-0961-LID.TIF,0961,MDT05,29,"2014, 2015",86.93
PNOA-MDT05-ETRS89-HU29-0962-LID.TIF,0962,MDT05,29,2014,83.02
PNOA-MDT05-ETRS89-HU29-0980-LID.TIF,0980,MDT05,29,"2014, 2015",78.51
PNOA-MDT05-ETRS89-HU29-0981-LID.TIF,0981,MDT05,29,2015,75.54
PNOA-MDT05-ETRS89-HU29-0982-LID.TIF,0982,MDT05,29,"2014, 2015",76.5
PNOA-MDT05-ETRS89-HU29-0983-LID.TIF,0983,MDT05,29,"2014, 2015",79.94
PNOA-MDT05-ETRS89-HU29-0984-LID.TIF,0984,MDT05,29,2014,77.07
PNOA-MDT05-ETRS89-HU29-0998-LID.TIF,0998,MDT05,29,"2014, 2015",52.99
PNOA-MDT05-ETRS89-HU29-0999-LID.TIF,0999,MDT05,29,2015,56.18
PNOA-MDT05-ETRS89-HU29-1000-LID.TIF,1000,MDT05,29,"2014, 2015",73.32
PNOA-MDT05-ETRS89-HU29-1001-LID.TIF,1001,MDT05,29,2014,76.01
PNOA-MDT05-ETRS89-HU29-1002-LID.TIF,1002,MDT05,29,2014,71.33
PNOA-MDT05-ETRS89-HU29-1016-LID.TIF,1016,MDT05,29,2015,1.82
PNOA-MDT05-ETRS89-HU29-1017-LID.TIF,1017,MDT05,29,"2014, 2015",42.14
PNOA-MDT05-ETRS89-HU29-1018-LID.TIF,1018,MDT05,29,2014,56.62
PNOA-MDT05-ETRS89-HU29-1019-LID.TIF,1019,MDT05,29,2014,54.67
PNOA-MDT05-ETRS89-HU29-1032B-LID.TIF,1032,MDT05,29,2014,1.07
PNOA-MDT05-ETRS89-HU29-1033-LID.TIF,1033,MDT05,29,2014,47.63
PNOA-MDT05-ETRS89-HU29-1034-LID.TIF,1034,MDT05,29,"2014, 2015",76.22
PNOA-MDT05-ETRS89-HU29-1047-LID.TIF,1047,MDT05,29,"2014, 2015",51.79
PNOA-MDT05-ETRS89-HU29-1048-LID.TIF,1048,MDT05,29,"2014, 2015",83.9
PNOA-MDT05-ETRS89-HU29-1061-LID.TIF,1061,MDT05,29,2015,23.88
PNOA-MDT05-ETRS89-HU29-1062-LID.TIF,1062,MDT05,29,2015,80.13
PNOA-MDT05-ETRS89-HU29-1068-LID.TIF,1068,MDT05,29,2015,6.32
PNOA-MDT05-ETRS89-HU29-1069-LID.TIF,1069,MDT05,29,2015,83.45
PNOA-MDT05-ETRS89-HU29-1073-LID.TIF,1073,MDT05,29,2015,55.46
PNOA-MDT05-ETRS89-HU29-1076-LID.TIF,1076,MDT05,29,2015,1.27
PNOA-MDT05-ETRS89-HU30-0001-LID.TIF,0001,MDT05,30,2010,21.52
PNOA-MDT05-ETRS89-HU30-0002-LID.TIF,0002,MDT05,30,"2009, 2010",35.65
PNOA-MDT05-ETRS89-HU30-0003-LID.TIF,0003,MDT05,30,2009,10.45
PNOA-MDT05-ETRS89-HU30-0006-LID.TIF,0006,MDT05,30,2010,15.6
PNOA-MDT05-ETRS89-HU30-0007-LID.TIF,0007,MDT05,30,2010,81.3
PNOA-MDT05-ETRS89-HU30-0008-LID.TIF,0008,MDT05,30,"2009, 2010",91.79
PNOA-MDT05-ETRS89-HU30-0009-LID.TIF,0009,MDT05,30,2009,68.39
PNOA-MDT05-ETRS89-HU30-0010-LID.TIF,0010,MDT05,30,"2009, 2012",30.84
PNOA-MDT05-ETRS89-HU30-0011-LID.TIF,0011,MDT05,30,2012,32.29
PNOA-MDT05-ETRS89-HU30-0012-LID.TIF,0012,MDT05,30,2012,35.21
PNOA-MDT05-ETRS89-HU30-0013-LID.TIF,0013,MDT05,30,2012,42.66
PNOA-MDT05-ETRS89-HU30-0014-LID.TIF,0014,MDT05,30,2012,38.68
PNOA-MDT05-ETRS89-HU30-0015-LID.TIF,0015,MDT05,30,2012,16.3
PNOA-MDT05-ETRS89-HU30-0018-LID.TIF,0018,MDT05,30,2012,1.09
PNOA-MDT05-ETRS89-HU30-0020-LID.TIF,0020,MDT05,30,2010,1.51
PNOA-MDT05-ETRS89-HU30-0021-LID.TIF,0021,MDT05,30,2010,36.64
PNOA-MDT05-ETRS89-HU30-0022-LID.TIF,0022,MDT05,30,"2009, 2010",87.5
PNOA-MDT05-ETRS89-HU30-0023-LID.TIF,0023,MDT05,30,"2009, 2010",87.71
PNOA-MDT05-ETRS89-HU30-0024-LID.TIF,0024,MDT05,30,"2009, 2012",90.58
PNOA-MDT05-ETRS89-HU30-0025-LID.TIF,0025,MDT05,30,"2009, 2012",91.58
PNOA-MDT05-ETRS89-HU30-0026-LID.TIF,0026,MDT05,30,2012,91.92
PNOA-MDT05-ETRS89-HU30-0027-LID.TIF,0027,MDT05,30,2012,90.14
PNOA-MDT05-ETRS89-HU30-0028-LID.TIF,0028,MDT05,30,2012,87.71
PNOA-MDT05-ETRS89-HU30-0029-LID.TIF,0029,MDT05,30,2012,83.98
PNOA-MDT05-ETRS89-HU30-0030-LID.TIF,0030,MDT05,30,2012,83.7
PNOA-MDT05-ETRS89-HU30-0031-LID.TIF,0031,MDT05,30,"2010, 2012",66.52
PNOA-MDT05-ETRS89-HU30-0032-LID.TIF,0032,MDT05,30,"2010, 2012",40.38
PNOA-MDT05-ETRS89-HU30-0033-LID.TIF,0033,MDT05,30,2012,30.95
PNOA-MDT05-ETRS89-HU30-0034-LID.TIF,0034,MDT05,30,2012,51.77
PNOA-MDT05-ETRS89-HU30-0035-LID.TIF,0035,MDT05,30,2012,69.21
PNOA-MDT05-ETRS89-HU30-0036-LID.TIF,0036,MDT05,30,2012,40.77
PNOA-MDT05-ETRS89-HU30-0037-LID.TIF,0037,MDT05,30,2012,25.78
PNOA-MDT05-ETRS89-HU30-0038-LID.TIF,0038,MDT05,30,2012,39.6
PNOA-MDT05-ETRS89-HU30-0039-LID.TIF,0039,MDT05,30,2012,2.97
PNOA-MDT05-ETRS89-HU30-0040-LID.TIF,0040,MDT05,30,2012,2.87
